label	intensity_mean	area	axis_major_length	axis_minor_length	major_length_um	minor_length_um	axis_ratio	name	date	op_date	group	paw	spot
324	2631.9148936170213	47.0	9.35523568887619	6.5795050435409665	2.9656097133737522	2.0857030988024863	0.7032965563191854	example_image	170125	co	co	co	ps
325	3226.5172413793102	29.0	6.61525867021732	5.686671594179706	2.0970369984588904	1.8026748953549667	0.8596295137757465	example_image	170125	co	co	co	ps
326	2696.027027027027	37.0	7.784670108322138	6.123939634872666	2.467740424338118	1.941288864254635	0.786666557433939	example_image	170125	co	co	co	ps
327	3163.8333333333335	12.0	4.866624534998135	3.2971989917064057	1.542719977594409	1.0452120803709306	0.6775125074874241	example_image	170125	co	co	co	ps
328	2932.818181818182	11.0	4.533315962095487	3.0114583009821128	1.4370611599842693	0.9546322814113297	0.6642948177806013	example_image	170125	co	co	co	ps
329	2966.6938775510203	49.0	8.669029980765355	7.208903224939559	2.7480825039026175	2.2852223223058403	0.8315697651218773	example_image	170125	co	co	co	ps
330	3335.139534883721	86.0	12.754594290891752	8.771644170673136	4.043206390212686	2.780611202103384	0.6877242796297409	example_image	170125	co	co	co	ps
331	2763.4444444444443	45.0	8.685640540313255	6.760279343305912	2.7533480512793016	2.143008551827974	0.7783282432572437	example_image	170125	co	co	co	ps
332	3174.1136363636365	44.0	8.769706850765818	6.389661880077361	2.7799970716927644	2.0255228159845236	0.7286060969665572	example_image	170125	co	co	co	ps
333	3518.5	12.0	4.866624534998135	3.2971989917064057	1.542719977594409	1.0452120803709306	0.6775125074874241	example_image	170125	co	co	co	ps
334	3527.1176470588234	17.0	5.2803066611302425	4.198453534749997	1.6738572115782868	1.330909770515749	0.7951154741931833	example_image	170125	co	co	co	ps
335	3397.5116279069766	43.0	9.508301454854292	5.840682010046428	3.014131561188811	1.8514961971847177	0.6142718589411753	example_image	170125	co	co	co	ps
336	2718.2	10.0	4.0	3.149603149604724	1.268	0.9984241984246975	0.787400787401181	example_image	170125	co	co	co	ps
337	3063.074074074074	27.0	6.392038415244998	5.4279676263177175	2.0262761776326643	1.7206657375427163	0.849176314925146	example_image	170125	co	co	co	ps
338	2864.3809523809523	21.0	5.656854249492381	4.826232174979021	1.7932227970890846	1.5299155994683495	0.8531653746270914	example_image	170125	co	co	co	ps
339	3370.8627450980393	51.0	10.913770696908058	6.151298643063033	3.4596653109198545	1.9499616698509814	0.5636272571500641	example_image	170125	co	co	co	ps
340	2892.4	30.0	6.531972647421808	5.819507424745385	2.0706353292327133	1.844783853644287	0.8909264840602731	example_image	170125	co	co	co	ps
341	3165.9444444444443	72.0	11.187401029503517	8.61663386669748	3.546406126352615	2.7314729357431013	0.770208723542994	example_image	170125	co	co	co	ps
342	3420.659090909091	88.0	12.282019649475089	9.121376759627072	3.8934002288836034	2.891476432801782	0.7426609808442134	example_image	170125	co	co	co	ps
343	2914.3888888888887	72.0	9.96747526152566	9.354707265435145	3.1596896579036344	2.965442203142941	0.9385232488656589	example_image	170125	co	co	co	ps
344	3226.625	16.0	5.991918084917679	3.575530403120137	1.8994380329189042	1.1334431377890835	0.5967255146762007	example_image	170125	co	co	co	ps
345	2815.4074074074074	27.0	6.392038415245	5.427967626317718	2.0262761776326648	1.7206657375427168	0.8491763149251459	example_image	170125	co	co	co	ps
346	3258.5172413793102	29.0	6.738095978854192	5.642644937446781	2.135976425296779	1.7887184451706297	0.8374242449431997	example_image	170125	co	co	co	ps
347	3412.2075471698113	53.0	9.074946786465395	7.415304677301592	2.87675813130953	2.3506515827046046	0.8171182544410028	example_image	170125	co	co	co	ps
348	3152.968253968254	63.0	12.578641509408806	6.778799967527295	3.9874293584825917	2.1488795897061523	0.5389135195924586	example_image	170125	co	co	co	ps
349	2911.016666666667	60.0	9.067843933035041	8.662100448730515	2.874506526772108	2.7458858422475734	0.9552546903871644	example_image	170125	co	co	co	ps
350	3178.9868421052633	76.0	10.927420007893703	9.613086734728983	3.463992142502304	3.0473484949090874	0.879721537909655	example_image	170125	co	co	co	ps
351	3025.296875	64.0	10.319872888438868	9.43544208378518	3.271399705635121	2.991035140559902	0.9142982850453035	example_image	170125	co	co	co	ps
352	3006.5384615384614	26.0	8.39277944492158	4.09636278912701	2.6605110840401407	1.2985470041532623	0.48808178697054816	example_image	170125	co	co	co	ps
353	3027.3333333333335	21.0	5.656854249492381	4.826232174979021	1.7932227970890846	1.5299155994683495	0.8531653746270914	example_image	170125	co	co	co	ps
354	3234.4444444444443	18.0	5.705919174556376	4.3869072829537155	1.8087763783343713	1.3906496086963278	0.768834459225369	example_image	170125	co	co	co	ps
355	3455.3823529411766	34.0	7.127582530529247	6.102383940874565	2.2594436621777714	1.934455709257237	0.85616461328038	example_image	170125	co	co	co	ps
356	3180.230769230769	26.0	6.199528076811883	5.640423063466101	1.965250400349367	1.788014111118754	0.9098149074544877	example_image	170125	co	co	co	ps
357	2853.5945945945946	37.0	7.815314912461781	6.06168965331383	2.4774548272503845	1.9215556201004842	0.7756168140644293	example_image	170125	co	co	co	ps
358	3607.3207547169814	53.0	9.35655227838075	7.233626060300733	2.966027072246698	2.2930594611153325	0.7731080685579826	example_image	170125	co	co	co	ps
359	2820.923076923077	39.0	8.58321320151969	5.856579445430368	2.720878584881742	1.8565356842014267	0.6823294852321085	example_image	170125	co	co	co	ps
360	2875.5625	16.0	5.369167044297481	3.9902437582721495	1.7020259530423016	1.2649072713722713	0.7431774287056561	example_image	170125	co	co	co	ps
361	3392.9523809523807	42.0	8.640987597877148	6.125668087956572	2.739193068527056	1.9418367838822332	0.7089083300456859	example_image	170125	co	co	co	ps
362	3248.4032258064517	62.0	10.020699686011262	7.835306593597791	3.1765618004655702	2.4837921901704996	0.7819121258105114	example_image	170125	co	co	co	ps
363	3357.9285714285716	70.0	10.535471463107113	8.416199408202441	3.339744453804955	2.667935212400174	0.7988441179565724	example_image	170125	co	co	co	ps
364	3515.920792079208	202.0	17.407642930350725	15.104846927533066	5.5182228089211804	4.788236476027982	0.8677135088287761	example_image	170125	co	co	co	ps
365	2705.8947368421054	19.0	5.173981358924004	4.679181214924815	1.6401520907789093	1.4833004451311662	0.9043676214360986	example_image	170125	co	co	co	ps
366	3419.8571428571427	21.0	5.4289194994095595	4.943750121969875	1.7209674813128304	1.5671687886644503	0.9106324237276955	example_image	170125	co	co	co	ps
367	3376.086956521739	23.0	6.014475292448898	4.86335007099463	1.9065886677063006	1.5416819725052977	0.8086075400626399	example_image	170125	co	co	co	ps
